Time,MH3X,MH3Y,MH3Z,MH5X,MH5Y,MH5Z,WRIX,WRIY,WRIZ
0,140.207813,-739.255176,1676.185083,99.535556,-731.155811,1664.110254,133.873172,-659.175159,1664.30874
0.0333,140.165317,-739.68822,1675.584985,99.628131,-731.238879,1663.638452,133.923846,-659.606616,1663.608911
0.0667,140.182529,-740.719592,1673.618311,99.566119,-732.054431,1662.177637,134.198535,-660.472522,1661.708398
0.1,139.710498,-742.262439,1669.206812,99.18735,-733.56084,1657.722314,133.746906,-662.106128,1657.855737
0.1333,139.125308,-744.379626,1661.245142,98.642917,-735.013171,1650.339258,134.044513,-664.305286,1649.79751
0.1667,138.615314,-747.496814,1647.071802,97.9556,-737.473438,1637.650781,134.035403,-667.513416,1636.344629
0.2,137.579776,-752.155078,1625.172266,96.88251,-740.562061,1617.30752,132.809772,-672.251025,1616.207422
0.2333,136.464801,-757.305591,1595.955103,95.533176,-745.465137,1588.409814,132.335574,-677.417407,1589.347437
0.2667,135.351993,-761.777332,1558.843164,94.609042,-750.46593,1552.23855,131.909122,-682.264941,1555.637598
0.3,135.948627,-764.817004,1513.940576,95.088351,-753.282764,1508.486841,132.489291,-685.752307,1515.068628
0.3333,136.699466,-765.475269,1461.789331,96.06644,-753.687244,1458.643823,133.538928,-686.439197,1467.566675
0.3667,136.761432,-761.332324,1403.509912,96.529529,-749.793811,1402.004175,134.380038,-683.253955,1415.457666
0.4,137.62775,-751.922839,1340.494897,97.869067,-739.992603,1340.426538,135.578922,-675.626147,1359.849268
0.4333,139.261203,-735.46062,1274.411401,99.400592,-724.459155,1276.772974,136.599216,-662.173083,1300.811914
0.4667,140.301257,-712.21825,1206.648584,100.282657,-703.597705,1211.432153,136.897418,-643.224109,1241.179224
0.5,139.449161,-682.887073,1140.086938,99.126468,-674.281604,1147.387109,136.554767,-616.450793,1180.816064
0.5333,136.987857,-642.092151,1073.792627,97.077594,-637.101611,1085.040674,134.780612,-581.889941,1121.726831
0.5667,132.788959,-595.896075,1011.344629,92.583514,-593.301563,1024.829126,131.134647,-542.119464,1066.006372
0.6,126.395724,-544.858325,955.315515,86.984821,-544.251147,970.28396,126.550372,-497.984271,1015.765833
0.6333,120.156604,-491.003589,907.641016,80.507251,-493.223773,922.964258,121.715244,-451.975787,973.283044
0.6667,114.369785,-438.834338,869.16897,74.700534,-442.280109,883.931299,116.943866,-407.326556,938.950464
0.7,109.353458,-387.238483,839.456201,69.90874,-389.862567,853.220728,112.959445,-364.957645,912.736536
0.7333,103.144763,-339.407886,818.263757,67.490672,-338.403598,829.65481,110.151767,-327.41817,893.100916
0.7667,106.020313,-299.666797,801.98269,67.903934,-288.617679,812.129114,106.606769,-295.565051,880.188928
0.8,107.091678,-265.897556,793.209802,73.949718,-245.116092,801.782007,103.011478,-268.937579,870.84353
0.8333,111.160632,-237.191676,786.68667,84.332706,-208.364101,796.901819,101.704349,-245.928615,863.372522
0.8667,118.080493,-219.960643,783.595178,96.255099,-187.256915,794.613977,104.496188,-231.536853,859.303674
0.9,126.439532,-212.452663,781.94967,107.629214,-178.174243,793.13363,109.366962,-223.95563,857.054224
0.9333,135.60947,-212.939624,782.082361,119.535938,-177.702243,792.661462,115.781619,-221.958087,856.772363
0.9667,146.826892,-215.321078,782.896509,136.387439,-177.763297,792.076868,123.217792,-223.708629,856.750208
1,157.857684,-221.120815,784.788232,153.150119,-182.269862,794.815393,131.671451,-227.441631,858.071069
1.0333,169.785236,-228.975215,787.53103,170.067905,-188.685504,796.278894,143.712161,-230.391231,860.439417
1.0667,186.40079,-237.426822,791.503992,191.804141,-196.706332,799.774316,159.935306,-234.863521,863.763879
1.1,210.597827,-244.813609,797.94375,218.180652,-205.316295,807.747827,182.963535,-238.769908,869.084131
1.1333,243.636951,-251.511188,807.133997,252.786731,-212.459949,817.912073,213.162616,-242.3353,877.356287
1.1667,289.251941,-254.666888,818.865015,295.433887,-217.863383,830.289453,250.556659,-245.035663,889.00625
1.2,334.823718,-259.917041,839.538843,341.599109,-224.886707,853.302942,293.977985,-247.307712,904.608606
1.2333,395.233569,-261.381244,869.732019,391.396594,-231.333011,883.856775,342.813495,-248.980243,927.797937
1.2667,450.361194,-265.090625,906.702905,455.725269,-227.947345,919.706323,393.734576,-250.95267,958.084802
1.3,506.459399,-267.347797,952.310083,510.050891,-229.722194,964.165125,444.345813,-252.641452,997.485071
1.3333,558.788013,-268.6048,1006.50979,561.537891,-230.055103,1018.457483,492.793994,-253.377841,1044.409692
1.3667,606.504626,-268.183505,1066.897729,606.805225,-229.457126,1079.032129,536.78606,-253.785831,1096.706445
1.4,647.314685,-267.291843,1130.362451,645.133105,-229.108157,1137.997949,575.165027,-254.863071,1151.806421
1.4333,680.640552,-265.262668,1195.05459,679.089587,-225.588985,1204.742212,605.806812,-253.431964,1210.487573
1.4667,706.254321,-262.958759,1258.3677,703.116016,-222.438899,1267.917993,630.465991,-251.476764,1265.905786
1.5,725.143604,-260.381427,1318.190454,720.481738,-221.364711,1325.210474,649.123706,-248.758258,1317.645288
1.5333,738.88927,-258.442874,1372.270166,732.030322,-221.542865,1377.423975,662.139819,-246.59505,1367.952417
1.5667,747.556567,-255.623203,1422.04397,740.315601,-218.220554,1425.944238,670.997607,-244.254382,1413.95791
1.6,752.8297,-252.507098,1465.271753,745.764392,-213.269633,1469.840479,676.780933,-241.042079,1454.338892
1.6333,755.137012,-249.242282,1502.268335,748.803638,-208.561954,1508.181543,679.257251,-238.069301,1489.352808
1.6667,755.777271,-245.808772,1533.058496,749.73363,-205.583179,1540.143823,680.600757,-234.397197,1519.080835
1.7,755.171436,-241.633784,1559.472192,748.901599,-201.76601,1566.996118,680.325366,-230.754253,1543.698145
1.7333,753.727527,-236.848361,1581.07876,747.233081,-197.245212,1587.195947,678.901294,-227.310062,1561.660059
1.7667,751.661914,-232.905261,1596.631982,744.729358,-192.32027,1603.458643,677.662891,-223.350696,1576.734155
1.8,749.597583,-229.765041,1607.068872,742.831104,-188.785968,1613.395166,676.095142,-220.519283,1586.647119
1.8333,748.444812,-226.036411,1613.705835,741.212878,-185.551387,1619.527124,674.875781,-217.71387,1592.281274
1.8667,747.638538,-223.799915,1616.764185,740.087512,-183.023341,1622.370386,674.019519,-215.723018,1595.414697
1.9,747.237598,-222.166782,1617.699609,740.171863,-181.442836,1623.079248,673.509509,-214.627193,1596.584863
1.9333,747.272876,-221.319781,1618.108301,739.93938,-180.223106,1622.597925,673.357166,-213.909328,1596.463037
1.9667,747.272266,-221.589305,1617.131128,740.562305,-180.439079,1621.046289,673.368396,-214.148044,1595.837793
2,747.388599,-222.175052,1615.994531,741.045581,-181.899638,1619.691187,673.464465,-214.637706,1594.777612
