Frame,u1,u2,v2
1,462.1,441.8,511.3
2,460.5,434.5,512.7
3,461.4,425.9,513.2
4,464.9,417.1,512.5
5,470.8,409.2,510.8
6,478.5,403.4,508.1
7,487.7,400.6,504.6
8,497.6,401.5,500.6
9,507.6,406.3,496.4
10,516.7,415.1,492.3
11,524.2,427.7,488.7
12,529.1,443.7,485.8
13,530.7,462.5,484.0
14,528.2,483.4,483.4
15,520.8,505.5,484.2
16,508.4,528.1,486.6
17,490.7,549.9,490.7
18,468.5,570.0,496.6
19,442.5,587.0,504.3
20,414.5,599.4,513.9
21,386.2,605.8,525.2
22,359.8,604.2,537.9
23,337.3,593.1,551.5
24,320.3,570.9,565.5
25,310.0,536.6,578.6
26,306.9,490.8,589.7
27,311.1,435.7,597.1
28,322.2,375.4,599.7
29,339.5,315.7,596.8
30,362.1,262.1,588.5
31,389.2,219.2,575.8
32,419.8,189.4,560.1
33,453.2,173.6,542.6
34,488.4,171.0,524.6
35,524.7,180.3,507.1
36,561.3,199.8,490.7
37,597.2,227.8,476.0
38,631.5,262.7,463.3
39,662.8,303.2,452.7
40,689.8,348.2,444.3
41,710.4,396.7,438.4
42,722.4,447.7,434.9
43,723.1,500.4,434.1
44,709.7,554.2,436.0
45,679.6,608.0,440.7
46,631.2,661.2,448.6
47,565.0,712.5,459.9
48,484.4,760.8,474.8
49,395.8,804.4,494.0
