Freq(Hz),Amplitude(V)
0,1.021729793
1.875,0.275110279
3.75,0.264797714
5.625,0.021620092
7.5,0.012317561
9.375,0.008109899
11.25,0.005843515
13.125,0.004478591
15,0.00358955
16.875,0.002975626
18.75,0.002531989
20.625,0.00219954
22.5,0.001942895
24.375,0.00173981
26.25,0.001575723
28.125,0.001440775
30,0.001328086
31.875,0.001232739
33.75,0.001151134
35.625,0.001080586
37.5,0.001019057
39.375,0.000964974
41.25,0.000917106
43.125,0.000874479
45,0.100806903
46.875,0.000801965
48.75,0.000770926
50.625,0.000742765
52.5,0.000717124
54.375,0.000693705
56.25,0.000672255
58.125,0.000652558
60,0.000634432
61.875,0.000617717
63.75,0.000602278
65.625,0.000587995
67.5,0.000574765
69.375,0.000562498
71.25,0.000551114
73.125,0.000540542
75,0.00053072
76.875,0.000521593
78.75,0.000513112
80.625,0.000505234
82.5,0.000497919
84.375,0.000491132
86.25,0.000484842
88.125,0.000479022
90,0.000473645
91.875,0.00046869
93.75,0.000464136
95.625,0.000459965
97.5,0.000456161
99.375,0.000452709
101.25,0.000449597
103.125,0.000446814
105,0.000444348
106.875,0.000442192
108.75,0.000440339
110.625,0.000438781
112.5,0.000437513
114.375,0.000436531
116.25,0.000435833
118.125,0.000435414
120,0.000435275
121.875,0.000435414
123.75,0.000435833
125.625,0.000436531
127.5,0.000437513
129.375,0.000438781
131.25,0.000440339
133.125,0.000442192
135,0.000444348
136.875,0.000446814
138.75,0.000449597
140.625,0.000452709
142.5,0.000456161
144.375,0.000459965
146.25,0.000464136
148.125,0.00046869
150,0.000473645
151.875,0.000479022
153.75,0.000484842
155.625,0.000491132
157.5,0.000497919
159.375,0.000505234
161.25,0.000513112
163.125,0.000521593
165,0.00053072
166.875,0.000540542
168.75,0.000551114
170.625,0.000562498
172.5,0.000574765
174.375,0.000587995
176.25,0.000602278
178.125,0.000617717
180,0.000634432
181.875,0.000652558
183.75,0.000672255
185.625,0.000693705
187.5,0.000717124
189.375,0.000742765
191.25,0.000770926
193.125,0.000801965
195,0.100806903
196.875,0.000874479
198.75,0.000917106
200.625,0.000964974
202.5,0.001019057
204.375,0.001080586
206.25,0.001151134
208.125,0.001232739
210,0.001328086
211.875,0.001440775
213.75,0.001575723
215.625,0.00173981
217.5,0.001942895
219.375,0.00219954
221.25,0.002531989
223.125,0.002975626
225,0.00358955
226.875,0.004478591
228.75,0.005843515
230.625,0.008109899
232.5,0.012317561
234.375,0.021620092
236.25,0.264797714
238.125,0.275110279
